X,Y,osm_id,name,place type,category,text_des
31.3540462,30.0482832,287531671,الصديق,school,Education,"تقع الصديق في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3432745,30.0471539,287531809,الملك فهد,school,Education,"تقع الملك فهد في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.2706177,30.0705444,339763266,رمسيس للبنات,school,Education,"تقع رمسيس للبنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.2098013,30.064775,366500797,معهد القلب,hospital,Health,"تقع معهد القلب في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2738254,30.0624158,411676470,مستشفى القوات الجوية,hospital,Health,"تقع مستشفى القوات الجوية في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3136014,30.0914309,411891407,عيادة دكتور رفيق سليمان,clinic,Health,"تقع عيادة دكتور رفيق سليمان في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.317617,30.0945129,411895460,مستشفي القاهرة التخصصى,hospital,Health,"تقع مستشفي القاهرة التخصصى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2854199,30.0112377,414554419,دار المقطم,hospital,Health,"تقع دار المقطم في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2380509,29.9845042,432875458,الفنية المعمارية بدار السلام,school,Education,"تقع الفنية المعمارية بدار السلام في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3455818,30.0642054,443368255,مركز الإيمان الطبي,hospital,Health,"تقع مركز الإيمان الطبي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3661322,30.1058829,452376256,النزهة الدولي,hospital,Health,"تقع النزهة الدولي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2542684,29.9660774,475367904,مستشفى الفتح الإسلامي,hospital,Health,"تقع مستشفى الفتح الإسلامي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
34.5069274,28.5056901,517369653,Futures Dahab Schools,school,Education,"تقع Futures Dahab Schools في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
34.5114594,28.4883845,517381615,مستشفى ذهب الإختصاصي,hospital,Health,"تقع مستشفى ذهب الإختصاصي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
32.899144,24.0921238,540655414,مدرسة المواساة,school,Education,"تقع مدرسة المواساة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
32.9062222,24.0946419,540656849,مدرسة احمد ماهر,school,Education,"تقع مدرسة احمد ماهر في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
32.9047202,24.0968044,540658966,مدرسة الامام علي,school,Education,"تقع مدرسة الامام علي في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.7541485,30.304683,570066399,جامعة مدينة العاشر من رمضان,university,Education,"تقع جامعة مدينة العاشر من رمضان في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.7314033,30.2890918,570069186,ميتشفى شرف,hospital,Health,"تقع ميتشفى شرف في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.7492561,30.2863681,570069286,Hospital,hospital,Health,"تقع Hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
27.2873145,31.355699,595353633,الهدى الخاصة,school,Education,"تقع الهدى الخاصة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
27.2413592,31.3492419,595353701,مستشفى مطروح العام,hospital,Health,"تقع مستشفى مطروح العام في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
27.1185516,31.3645601,595353734,الشهيد عبد المنعم رياض,school,Education,"تقع الشهيد عبد المنعم رياض في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.2457729,30.0778777,597261978,مدرسة الراعي الصالح,school,Education,"تقع مدرسة الراعي الصالح في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.2006429,30.0683058,599711425,مدينة الطلبه,university,Education,"تقع مدينة الطلبه في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.1948512,30.0098435,602377662,أحمد لطفي,school,Education,"تقع أحمد لطفي في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3058812,29.9852957,603602840,المستقبل,school,Education,"تقع المستقبل في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3229757,29.8399443,653596105,مستشفي النصر,hospital,Health,"تقع مستشفي النصر في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2771374,30.0579734,662158924,مستشفى طلبة البؤث,hospital,Health,"تقع مستشفى طلبة البؤث في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2431749,30.0209068,663080305,مستشفى المقطم,hospital,Health,"تقع مستشفى المقطم في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2973393,30.0846029,665450260,مستشفى كوبري القبة العسكري,hospital,Health,"تقع مستشفى كوبري القبة العسكري في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3317412,30.0815072,678457937,مستشفى الميرغنى,hospital,Health,"تقع مستشفى الميرغنى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3217255,30.0905481,679929786,مدرسة القومية,school,Education,"تقع مدرسة القومية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.481245,30.0661783,736601923,مدرسة المستقبل,school,Education,"تقع مدرسة المستقبل في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
29.9214767,31.1997261,738749963,مدرسة أم الرب,school,Education,"تقع مدرسة أم الرب في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3337305,30.0583321,740750128,مدينة نصر الثانوية الصناعية,school,Education,"تقع مدينة نصر الثانوية الصناعية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3236339,30.0974469,741702652,القلب المقدس,school,Education,"تقع القلب المقدس في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.3489159,30.091848,741702670,مستشفى مصر للطيران,hospital,Health,"تقع مستشفى مصر للطيران في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.244444,30.962778,768600810,صيدلية د / أسماء عبيد,hospital,Health,"تقع صيدلية د / أسماء عبيد في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.36312,30.051974,836046275,Bayan,school,Education,"تقع Bayan في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.0525604,29.976147,892931755,دريم أنترناشيونال سكول,school,Education,"تقع دريم أنترناشيونال سكول في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.0367305,29.9681933,900775623,الشويفات,school,Education,"تقع الشويفات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.0581015,29.9567789,900946397,بيونير للغات,school,Education,"تقع بيونير للغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
