X,Y,osm_id,name,place_type,category,text_des,label
31.3540462,30.0482832,287531671,الصديق,School,Education,"تقع الصديق في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3432745,30.0471539,287531809,الملك فهد,School,Education,"تقع الملك فهد في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2706177,30.0705444,339763266,رمسيس للبنات,School,Education,"تقع رمسيس للبنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2098013,30.064775,366500797,معهد القلب,Hospital,Health,"تقع معهد القلب في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2738254,30.0624158,411676470,مستشفى القوات الجوية,Hospital,Health,"تقع مستشفى القوات الجوية في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3136014,30.0914309,411891407,عيادة دكتور رفيق سليمان,Clinic,Health,"تقع عيادة دكتور رفيق سليمان في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.317617,30.0945129,411895460,مستشفي القاهرة التخصصى,Hospital,Health,"تقع مستشفي القاهرة التخصصى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2854199,30.0112377,414554419,دار المقطم,Hospital,Health,"تقع دار المقطم في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2380509,29.9845042,432875458,الفنية المعمارية بدار السلام,School,Education,"تقع الفنية المعمارية بدار السلام في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3455818,30.0642054,443368255,مركز الإيمان الطبي,Hospital,Health,"تقع مركز الإيمان الطبي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3661322,30.1058829,452376256,النزهة الدولي,Hospital,Health,"تقع النزهة الدولي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2542684,29.9660774,475367904,مستشفى الفتح الإسلامي,Hospital,Health,"تقع مستشفى الفتح الإسلامي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
34.5069274,28.5056901,517369653,Futures Dahab Schools,School,Education,"تقع Futures Dahab Schools في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
34.5114594,28.4883845,517381615,مستشفى ذهب الإختصاصي,Hospital,Health,"تقع مستشفى ذهب الإختصاصي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
32.899144,24.0921238,540655414,مدرسة المواساة,School,Education,"تقع مدرسة المواساة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
32.9062222,24.0946419,540656849,مدرسة احمد ماهر,School,Education,"تقع مدرسة احمد ماهر في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
32.9047202,24.0968044,540658966,مدرسة الامام علي,School,Education,"تقع مدرسة الامام علي في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.7541485,30.304683,570066399,جامعة مدينة العاشر من رمضان,University,Education,"تقع جامعة مدينة العاشر من رمضان في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.7314033,30.2890918,570069186,ميتشفى شرف,Hospital,Health,"تقع ميتشفى شرف في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.7492561,30.2863681,570069286,Hospital,Hospital,Health,"تقع Hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
27.2873145,31.355699,595353633,الهدى الخاصة,School,Education,"تقع الهدى الخاصة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
27.2413592,31.3492419,595353701,مستشفى مطروح العام,Hospital,Health,"تقع مستشفى مطروح العام في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
27.1185516,31.3645601,595353734,الشهيد عبد المنعم رياض,School,Education,"تقع الشهيد عبد المنعم رياض في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2457729,30.0778777,597261978,مدرسة الراعي الصالح,School,Education,"تقع مدرسة الراعي الصالح في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2006429,30.0683058,599711425,مدينة الطلبه,University,Education,"تقع مدينة الطلبه في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.1948512,30.0098435,602377662,أحمد لطفي,School,Education,"تقع أحمد لطفي في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3058812,29.9852957,603602840,المستقبل,School,Education,"تقع المستقبل في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3229757,29.8399443,653596105,مستشفي النصر,Hospital,Health,"تقع مستشفي النصر في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2771374,30.0579734,662158924,مستشفى طلبة البؤث,Hospital,Health,"تقع مستشفى طلبة البؤث في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2431749,30.0209068,663080305,مستشفى المقطم,Hospital,Health,"تقع مستشفى المقطم في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2973393,30.0846029,665450260,مستشفى كوبري القبة العسكري,Hospital,Health,"تقع مستشفى كوبري القبة العسكري في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3317412,30.0815072,678457937,مستشفى الميرغنى,Hospital,Health,"تقع مستشفى الميرغنى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3217255,30.0905481,679929786,مدرسة القومية,School,Education,"تقع مدرسة القومية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.481245,30.0661783,736601923,مدرسة المستقبل,School,Education,"تقع مدرسة المستقبل في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9214767,31.1997261,738749963,مدرسة أم الرب,School,Education,"تقع مدرسة أم الرب في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3337305,30.0583321,740750128,مدينة نصر الثانوية الصناعية,School,Education,"تقع مدينة نصر الثانوية الصناعية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3236339,30.0974469,741702652,القلب المقدس,School,Education,"تقع القلب المقدس في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3489159,30.091848,741702670,مستشفى مصر للطيران,Hospital,Health,"تقع مستشفى مصر للطيران في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.244444,30.962778,768600810,صيدلية د / أسماء عبيد,Hospital,Health,"تقع صيدلية د / أسماء عبيد في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.36312,30.051974,836046275,Bayan,School,Education,"تقع Bayan في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.0525604,29.976147,892931755,دريم أنترناشيونال سكول,School,Education,"تقع دريم أنترناشيونال سكول في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.0367305,29.9681933,900775623,الشويفات,School,Education,"تقع الشويفات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.0581015,29.9567789,900946397,بيونير للغات,School,Education,"تقع بيونير للغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2156569,30.0152542,903481454,مستشفى الرماد,Hospital,Health,"تقع مستشفى الرماد في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3126006,30.0915231,962263145,Al-Tabary,School,Education,"تقع Al-Tabary في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3152282,30.0909126,976137264,مدرسة الكمال الإبتدائية,School,Education,"تقع مدرسة الكمال الإبتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9137596,31.1923271,982332606,مدرسة العباسية الثانوية,School,Education,"تقع مدرسة العباسية الثانوية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.1344667,29.9927968,984104710,مدارس المستقبل,School,Education,"تقع مدارس المستقبل في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4332336,30.0117503,1015761172,المدرسة الألمانية الخاصة,School,Education,"تقع المدرسة الألمانية الخاصة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
